Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue colour),Custom field (Rank),Custom field (Start date),Custom field (Team),Comment,Status Category,Status Category Changed
"Integrate Google Drive, screenshot blocking, email receiving, and source-code protection APIs into the new website",KAN-4,10012,Epic,In Review,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Highest,,oekanayake01,712020:228c3a86-df17-4982-98bb-5f80a0bcdd40,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,14/Aug/26 10:21 AM,16/Aug/26 12:57 AM,,,20/Aug/26 12:00 AM,0,,,,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i0001z:,,,,In Progress,16/Aug/26 12:57 AM
Day 1 [Healthcare] Kusal - Environment Setup + Data Collection,KAN-11,10019,Task,Done,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,Done,Kusal Pabasara,712020:d4fe8ac9-ec10-465a-85f2-c10497da25da,Kusal Pabasara,712020:d4fe8ac9-ec10-465a-85f2-c10497da25da,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,17/Aug/26 4:34 PM,17/Aug/26 4:45 PM,17/Aug/26 4:34 PM,17/Aug/26 12:00 AM,0,"Healthcare,Day1","Industry: Healthcare | Models: Qwen-Healthcare + Llama-Healthcare | Open Colab, enable GPU, mount Drive, install libraries (transformers, datasets, accelerate, peft, bitsandbytes). Create project folders. Download domain-specific datasets. Save raw data, create README, back up to Drive.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i00027:,,,,Done,17/Aug/26 4:34 PM
Day 1 [Finance] Navodya - Environment Setup + Data Collection,KAN-12,10020,Task,Done,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,navodya dissanayake,712020:3217b8d1-4da9-43e3-a79a-2ee0fab71124,navodya dissanayake,712020:3217b8d1-4da9-43e3-a79a-2ee0fab71124,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,17/Aug/26 1:53 PM,17/Aug/26 1:31 PM,,17/Aug/26 12:00 AM,0,"Finance,Day1","Industry: Finance | Models: Qwen-Finance + Llama-Finance | Open Colab, enable GPU, mount Drive, install libraries (transformers, datasets, accelerate, peft, bitsandbytes). Create project folders. Download domain-specific datasets. Save raw data, create README, back up to Drive.",,navodya dissanayake,Via Codos PVT LTD,712020:3217b8d1-4da9-43e3-a79a-2ee0fab71124,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,0|i0002f:,,,"17/Aug/26 1:52 PM;712020:3217b8d1-4da9-43e3-a79a-2ee0fab71124;[https://drive.google.com/drive/folders/1mCyT_Ird_2s7Eonb7FA1ISTUjFtSAvU6?usp=sharing|https://drive.google.com/drive/folders/1mCyT_Ird_2s7Eonb7FA1ISTUjFtSAvU6?usp=sharing|smart-link] 

Completed the Finance LLM initial setup and data preparation.

* Configured Google Colab with GPU
* Mounted Google Drive
* Installed Transformers, Datasets, Accelerate, PEFT and BitsAndBytes
* Created the Finance-LLM project folder structure
* Collected and saved 3 finance-domain datasets
* Verified and inspected the datasets
* Created {{dataset_metadata.json}}
* Created {{README.md}}
* Backed up the project to Google Drive",Done,17/Aug/26 1:53 PM
Day 1 [SME Daily Business] Deepana - Environment Setup + Data Collection,KAN-13,10021,Task,Done,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,Done,Deepana Nirmal,712020:98bb3280-4325-469c-bbdb-9c6c1507f962,Deepana Nirmal,712020:98bb3280-4325-469c-bbdb-9c6c1507f962,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,17/Aug/26 4:34 PM,,17/Aug/26 4:34 PM,17/Aug/26 12:00 AM,0,"SME-Daily-Business,Day1","Industry: SME Daily Business | Models: Qwen-SME + Llama-SME | Open Colab, enable GPU, mount Drive, install libraries (transformers, datasets, accelerate, peft, bitsandbytes). Create project folders. Download domain-specific datasets. Save raw data, create README, back up to Drive.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i0002n:,,,,Done,17/Aug/26 4:34 PM
Day 1 [Retail + E-commerce + Manufacturing] Rimaz - Environment Setup + Data Collection,KAN-14,10022,Task,Done,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,Done,Rimaz Nowfel,712020:9c0313b2-01b9-49e5-a659-e00a816a1dab,Rimaz Nowfel,712020:9c0313b2-01b9-49e5-a659-e00a816a1dab,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,17/Aug/26 4:00 PM,,17/Aug/26 3:46 PM,17/Aug/26 12:00 AM,0,"Retail-Ecommerce-Manufacturing,Day1","Industry: Retail + E-commerce + Manufacturing | Models: Qwen-RetailEcomManufacturing + Llama-RetailEcomManufacturing | Open Colab, enable GPU, mount Drive, install libraries (transformers, datasets, accelerate, peft, bitsandbytes). Create project folders. Download domain-specific datasets. Save raw data, create README, back up to Drive.",,Rimaz Nowfel,Via Codos PVT LTD,712020:9c0313b2-01b9-49e5-a659-e00a816a1dab,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,0|i0002v:,,,"17/Aug/26 3:56 PM;712020:9c0313b2-01b9-49e5-a659-e00a816a1dab;[https://drive.google.com/drive/folders/1spK12B_gXaBpLN3sB7XtSGcXieVEBSam?usp=sharing|https://drive.google.com/drive/folders/1spK12B_gXaBpLN3sB7XtSGcXieVEBSam?usp=sharing|smart-link] 

Completed the Day 1 environment setup and data collection:

* Configured a Google Colab GPU runtime and mounted Google Drive.
* Set up the local project directories and {{.gitignore}}.
* Downloaded and saved the Retail & Manufacturing datasets locally.
* Verified that all code, notebooks, and raw data are backed up to Google Drive. ",Done,17/Aug/26 3:46 PM
Day 2 [Healthcare] Kusal - Data Cleaning + QLoRA Configuration,KAN-15,10023,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Kusal Pabasara,712020:d4fe8ac9-ec10-465a-85f2-c10497da25da,Kusal Pabasara,712020:d4fe8ac9-ec10-465a-85f2-c10497da25da,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,18/Aug/26 12:00 AM,0,"Healthcare,Day2","Industry: Healthcare | Models: Qwen-Healthcare + Llama-Healthcare | Clean and normalize raw data. Format into instruction-response pairs. Split 80/10/10 train/val/test. Create Qwen and Llama config files with LoRA settings (rank 16, alpha 32). Test both models load correctly with 4-bit quantization.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i00033:,,,,To Do,16/Aug/26 1:54 AM
Day 2 [Finance] Navodya - Data Cleaning + QLoRA Configuration,KAN-16,10024,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,navodya dissanayake,712020:3217b8d1-4da9-43e3-a79a-2ee0fab71124,navodya dissanayake,712020:3217b8d1-4da9-43e3-a79a-2ee0fab71124,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,18/Aug/26 12:00 AM,0,"Finance,Day2","Industry: Finance | Models: Qwen-Finance + Llama-Finance | Clean and normalize raw data. Format into instruction-response pairs. Split 80/10/10 train/val/test. Create Qwen and Llama config files with LoRA settings (rank 16, alpha 32). Test both models load correctly with 4-bit quantization.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i0003b:,,,,To Do,16/Aug/26 1:54 AM
Day 2 [SME Daily Business] Deepana - Data Cleaning + QLoRA Configuration,KAN-17,10025,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Deepana Nirmal,712020:98bb3280-4325-469c-bbdb-9c6c1507f962,Deepana Nirmal,712020:98bb3280-4325-469c-bbdb-9c6c1507f962,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,18/Aug/26 12:00 AM,0,"SME-Daily-Business,Day2","Industry: SME Daily Business | Models: Qwen-SME + Llama-SME | Clean and normalize raw data. Format into instruction-response pairs. Split 80/10/10 train/val/test. Create Qwen and Llama config files with LoRA settings (rank 16, alpha 32). Test both models load correctly with 4-bit quantization.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i0003j:,,,,To Do,16/Aug/26 1:54 AM
Day 2 [Retail + E-commerce + Manufacturing] Rimaz - Data Cleaning + QLoRA Configuration,KAN-18,10026,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Rimaz Nowfel,712020:9c0313b2-01b9-49e5-a659-e00a816a1dab,Rimaz Nowfel,712020:9c0313b2-01b9-49e5-a659-e00a816a1dab,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,18/Aug/26 12:00 AM,0,"Retail-Ecommerce-Manufacturing,Day2","Industry: Retail + E-commerce + Manufacturing | Models: Qwen-RetailEcomManufacturing + Llama-RetailEcomManufacturing | Clean and normalize raw data. Format into instruction-response pairs. Split 80/10/10 train/val/test. Create Qwen and Llama config files with LoRA settings (rank 16, alpha 32). Test both models load correctly with 4-bit quantization.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i0003r:,,,,To Do,16/Aug/26 1:54 AM
Day 3 [Healthcare] Kusal - Writing Training Pipelines,KAN-19,10027,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Kusal Pabasara,712020:d4fe8ac9-ec10-465a-85f2-c10497da25da,Kusal Pabasara,712020:d4fe8ac9-ec10-465a-85f2-c10497da25da,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,19/Aug/26 12:00 AM,0,"Healthcare,Day3","Industry: Healthcare | Models: Qwen-Healthcare + Llama-Healthcare | Write Qwen and Llama training scripts: load config, load model with 4-bit quantization, apply LoRA adapters, tokenize data, train for 3 epochs. Test on a small subset. Set up Weights & Biases for tracking.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i0003z:,,,,To Do,16/Aug/26 1:54 AM
